,Variable,Coefficient,P-value
174,C(COMPANY_ID)[T.1936],-5490601992.597887,0.3417100075908033
175,C(COMPANY_ID)[T.1937],417175053.0187694,0.3417100091821794
176,C(COMPANY_ID)[T.1940],613345563.0717707,0.3417100082661738
177,C(COMPANY_ID)[T.1944],3173357204.042407,0.3417100072618475
178,C(COMPANY_ID)[T.1948],1672273402.1990705,0.3417100066680724
179,C(COMPANY_ID)[T.1957],-29208743033.310684,0.3417100073824072
180,C(COMPANY_ID)[T.1976],613345563.5016522,0.3417100079276618
181,C(COMPANY_ID)[T.1985],1672273399.9149365,0.34171000732737977
182,C(COMPANY_ID)[T.1986],613345565.1950574,0.34171000659478734
183,C(COMPANY_ID)[T.1987],417175057.9629011,0.3417100034603473
184,C(COMPANY_ID)[T.1988],2112027722.796173,0.34171000726020917
185,C(COMPANY_ID)[T.1991],-1471402737.7431917,0.341710007383074
186,C(COMPANY_ID)[T.2000],613345563.3911924,0.3417100080155384
187,C(COMPANY_ID)[T.2016],1672273400.131846,0.34171000726487855
188,C(COMPANY_ID)[T.2017],2112027722.4433703,0.3417100073408854
189,C(COMPANY_ID)[T.2018],-206201692.86106205,0.34171000738107293
190,C(COMPANY_ID)[T.2021],417175057.05597055,0.34171000450943756
191,C(COMPANY_ID)[T.2025],-29208743032.133247,0.3417100074018957
192,C(COMPANY_ID)[T.2034],417175054.0856881,0.3417100079463832
193,C(COMPANY_ID)[T.2040],-1471402735.2925758,0.3417100081868478
194,C(COMPANY_ID)[T.2044],259657769.0264837,0.3417100073810806
195,C(COMPANY_ID)[T.2046],417175055.9251168,0.34171000581767774
196,C(COMPANY_ID)[T.2049],613345563.4584627,0.3417100079616415
197,C(COMPANY_ID)[T.2055],-6853817435.374889,0.34171000740086577
198,C(COMPANY_ID)[T.2064],-4866746735.753977,0.3417100074678264
199,C(COMPANY_ID)[T.2065],613345564.1792045,0.3417100073947893
200,C(COMPANY_ID)[T.207],-0.29094809724504356,0.5297090864146612
201,C(COMPANY_ID)[T.2070],-29208743033.349747,0.34171000738181256
202,C(COMPANY_ID)[T.2071],613345565.7993195,0.34171000611944
203,C(COMPANY_ID)[T.2074],613345562.6049201,0.34171000863311385
204,C(COMPANY_ID)[T.2075],-29208743031.211174,0.3417100074170929
205,C(COMPANY_ID)[T.2077],-4173102896.36217,0.34171000766919146
206,C(COMPANY_ID)[T.2081],-29208743029.43006,0.3417100074465562
207,C(COMPANY_ID)[T.2084],-29208743034.437088,0.3417100073638054
208,C(COMPANY_ID)[T.2089],417175055.31299543,0.3417100065265172
209,C(COMPANY_ID)[T.2090],1672273397.8193865,0.34171000793226913
210,C(COMPANY_ID)[T.2097],613345562.8705125,0.3417100084242771
211,C(COMPANY_ID)[T.2098],-5490601995.519663,0.3417100073338859
212,C(COMPANY_ID)[T.2099],-1471402737.6728144,0.3417100074059414
213,C(COMPANY_ID)[T.210],-4866746737.118309,0.34171000733246837
214,C(COMPANY_ID)[T.2102],-331706732.2210145,0.34171000738107926
215,C(COMPANY_ID)[T.2106],-4173102897.3645954,0.341710007553252
216,C(COMPANY_ID)[T.2108],613345564.4224341,0.3417100072029957
217,C(COMPANY_ID)[T.2112],-1076658041.9906814,0.3417100085685797
218,C(COMPANY_ID)[T.2126],-1471402738.4448113,0.34171000715249933
219,C(COMPANY_ID)[T.2127],-29208743031.147713,0.3417100074181957
220,C(COMPANY_ID)[T.2128],-1.0093126627963542,0.33313817358614606
221,C(COMPANY_ID)[T.2131],613345563.674025,0.3417100077921785
222,C(COMPANY_ID)[T.2142],-1471402737.368246,0.341710007505873
223,C(COMPANY_ID)[T.2143],-29208743033.850433,0.3417100073735245
224,C(COMPANY_ID)[T.2145],3173357204.288329,0.34171000722449485
225,C(COMPANY_ID)[T.2147],2112027723.8496609,0.34171000701956655
226,C(COMPANY_ID)[T.2149],1672273399.7406878,0.341710007378098
227,C(COMPANY_ID)[T.2157],-4866746737.807766,0.3417100072640328
228,C(COMPANY_ID)[T.2160],417175055.11829615,0.3417100067518626
229,C(COMPANY_ID)[T.2161],613345563.6268406,0.3417100078290458
230,C(COMPANY_ID)[T.2163],-255748720.09255946,0.3417100073810796
231,C(COMPANY_ID)[T.2164],-29208743031.751434,0.34171000740816493
232,C(COMPANY_ID)[T.2171],0.07280374931022937,0.8951365549906689
233,C(COMPANY_ID)[T.2176],613345564.5805657,0.34171000707904786
234,C(COMPANY_ID)[T.2180],-4866746735.600584,0.34171000748298797
235,C(COMPANY_ID)[T.2183],613345565.6071043,0.34171000627099823
236,C(COMPANY_ID)[T.2185],-1076658041.17205,0.3417100089354814
237,C(COMPANY_ID)[T.2187],135497076373.12228,0.3417100073780327
238,C(COMPANY_ID)[T.2189],-1076658045.487671,0.3417100070006701
239,C(COMPANY_ID)[T.2197],417175056.3055093,0.3417100053776797
240,C(COMPANY_ID)[T.2203],-1076658045.7042034,0.34171000690357856
241,C(COMPANY_ID)[T.2204],417175052.6204785,0.34171000964183396
242,C(COMPANY_ID)[T.2206],1672273399.6365032,0.3417100074077183
243,C(COMPANY_ID)[T.2208],417175055.1765163,0.34171000668398366
244,C(COMPANY_ID)[T.2209],-4866746736.412073,0.3417100074024342
245,C(COMPANY_ID)[T.2219],-4866746735.58902,0.34171000748413405
246,C(COMPANY_ID)[T.2227],-1471402737.9058762,0.3417100073293282
247,C(COMPANY_ID)[T.223],417175054.2144239,0.34171000779732785
248,C(COMPANY_ID)[T.2230],2846990704.228365,0.34171000740713176
249,C(COMPANY_ID)[T.2235],613345565.6487021,0.3417100062380427
250,C(COMPANY_ID)[T.2238],417175053.777892,0.34171000830195963
251,C(COMPANY_ID)[T.2243],-0.42069044752407425,0.6885569925174619
252,C(COMPANY_ID)[T.2244],-29208743034.087105,0.3417100073695869
253,C(COMPANY_ID)[T.2246],-29208743033.343643,0.3417100073818867
254,C(COMPANY_ID)[T.2247],-1076658045.8211038,0.34171000685141983
