Variable,Coefficient,P-value
C(COMPANY_ID)[T.3812],-8.356550139914177,0.7213592413558718
C(COMPANY_ID)[T.3815],3.063824602137868,0.8757826157966667
C(COMPANY_ID)[T.3821],15.240563217186157,0.6548982262418519
C(COMPANY_ID)[T.3848],-32.212803439029955,0.5608485385605706
C(COMPANY_ID)[T.3853],-0.029637271359384765,0.6587758369855781
C(COMPANY_ID)[T.3858],-0.026165437099295863,0.6673985271084131
C(COMPANY_ID)[T.3865],-0.033349744317831276,0.681722308383353
C(COMPANY_ID)[T.3873],-13.949743929944361,0.9649094081689806
C(COMPANY_ID)[T.3874],28.360334116169184,0.08553488759980982
C(COMPANY_ID)[T.3881],0.11442216771591235,0.0636828154261156
C(COMPANY_ID)[T.3890],-14.158791014059034,0.9525849045255895
C(COMPANY_ID)[T.3897],-19.874982716899254,0.5239301380899373
C(COMPANY_ID)[T.3903],-7.741641465250041,0.9605813405811969
C(COMPANY_ID)[T.3906],37.88268024469646,0.11206080101422884
C(COMPANY_ID)[T.3926],4.088767144650866,0.8563250432552204
C(COMPANY_ID)[T.3929],13.009193228302934,0.9230704884638362
C(COMPANY_ID)[T.3930],186.40679924744109,0.1709722378201831
C(COMPANY_ID)[T.3931],0.0804272150125302,0.15638938081435586
C(COMPANY_ID)[T.3942],1255.4352804044975,0.010118647774691097
C(COMPANY_ID)[T.3945],-46.519461667333275,0.10676370089709654
C(COMPANY_ID)[T.3953],29.86894393649031,0.07102530177691138
C(COMPANY_ID)[T.3964],-0.03672710787201705,0.5751055739159856
C(COMPANY_ID)[T.3967],-7.572819716579602,0.898911813069349
C(COMPANY_ID)[T.3971],-577.0063153406778,0.0018755907089523943
C(COMPANY_ID)[T.398],81.80555446697734,0.630894334258358
C(COMPANY_ID)[T.3980],-1.777785996291243,0.9441075067591456
C(COMPANY_ID)[T.3986],-131.21236854210565,0.6496154022039347
C(COMPANY_ID)[T.3996],9.482367577501286,0.39826862698004595
C(COMPANY_ID)[T.4000],-123.19911391459664,0.6099397211113308
C(COMPANY_ID)[T.4003],-48.600279764849915,0.6031875319437412
C(COMPANY_ID)[T.4012],-0.17828784902363426,0.020411206860289494
C(COMPANY_ID)[T.4020],25.237517336213273,0.7600647100996015
C(COMPANY_ID)[T.4043],6.4917986396250384,0.8727701050311274
C(COMPANY_ID)[T.4044],-0.056256524362503835,0.36202572414743506
C(COMPANY_ID)[T.405],23.995073227354546,0.05331740747969988
C(COMPANY_ID)[T.4052],27.191387402612136,0.8767585606275026
C(COMPANY_ID)[T.4066],11.759816296353435,0.48806403584159097
C(COMPANY_ID)[T.4068],-0.09226351979735059,0.1350304092937176
C(COMPANY_ID)[T.4077],-3.8564771631008625,0.9954110608150588
C(COMPANY_ID)[T.4091],-6.111234501033778,0.6984663015781074
C(COMPANY_ID)[T.4095],58.60506859313577,0.10751607448871253
C(COMPANY_ID)[T.4103],-1929.5634243792115,9.114135074700298e-05
C(COMPANY_ID)[T.4104],59.629285528923795,9.643868517873034e-06
C(COMPANY_ID)[T.4120],29.35303763923247,0.7598929576881279
C(COMPANY_ID)[T.4124],-6.396995543109028,0.9463107987666373
C(COMPANY_ID)[T.4136],23.0634532444044,0.7528175817401526
C(COMPANY_ID)[T.4138],12.690488534478618,0.6599024399575839
C(COMPANY_ID)[T.4142],53.82151298871622,0.7300771146164056
C(COMPANY_ID)[T.4144],13.7603757955258,0.6333386540572882
C(COMPANY_ID)[T.4158],44.315287178149205,0.1898413475730992
C(COMPANY_ID)[T.4163],93.30086635036278,0.025052653054599017
C(COMPANY_ID)[T.4164],104.94311138508255,0.003979335325620117
C(COMPANY_ID)[T.4177],-101.12958420019504,0.18557293934957986
C(COMPANY_ID)[T.4186],63.698221940607965,0.06928493250338792
C(COMPANY_ID)[T.4193],-0.051738181324983104,0.5003001489394798
C(COMPANY_ID)[T.4194],69.43634004254227,0.11172700811853316
C(COMPANY_ID)[T.4195],-111.9990167579906,0.5455262207642361
C(COMPANY_ID)[T.4203],79.04637794696214,0.0003653635552414466
C(COMPANY_ID)[T.4210],-945.7996229814343,0.004533324066337928
C(COMPANY_ID)[T.4212],17.729348035934834,0.5196254259130885
C(COMPANY_ID)[T.4216],30.84038010817119,0.6694025639850744
C(COMPANY_ID)[T.4217],-604.504520851749,0.059670709221396064
C(COMPANY_ID)[T.4221],-43.69486690430085,0.8889012561002334
C(COMPANY_ID)[T.4230],26.453757918030078,0.9439650173697917
C(COMPANY_ID)[T.4231],67.3324732382248,0.005943899934744153
C(COMPANY_ID)[T.4234],-0.01776448118026147,0.7879170300252211
C(COMPANY_ID)[T.4235],15.029147754050427,0.9322609890775917
C(COMPANY_ID)[T.4244],43.489618456909724,0.02646861635337839
C(COMPANY_ID)[T.4261],-0.03133822383474255,0.6129438166613501
C(COMPANY_ID)[T.4266],2.5505785254408835,0.8481284875327904
C(COMPANY_ID)[T.4267],1948.2590820138093,0.01447105103294303
C(COMPANY_ID)[T.4270],53.29994128581816,0.0027223379560042424
C(COMPANY_ID)[T.4272],-24.140516992111884,0.773337930364433
C(COMPANY_ID)[T.4273],-0.026402370309703854,0.7097394244420309
C(COMPANY_ID)[T.4281],0.044771856157983625,0.4867450775046306
C(COMPANY_ID)[T.4291],167.39493136758279,0.6627403142037953
C(COMPANY_ID)[T.4293],-0.043835859337966854,0.7958897652306712
C(COMPANY_ID)[T.4297],-21.051934973744068,0.8148772034034123
C(COMPANY_ID)[T.4308],9.719765686930586,0.43540206280014015
C(COMPANY_ID)[T.4316],-0.023084032089918716,0.7739428527749823
C(COMPANY_ID)[T.4317],6.556151585443729,0.6128304059862875
C(COMPANY_ID)[T.4318],-0.16171743774438913,0.0411907771308116
C(COMPANY_ID)[T.4320],26.45934081673039,0.4999613569923531
C(COMPANY_ID)[T.4331],1.3690437535190654,0.959987567606179
C(COMPANY_ID)[T.4333],-102.02859732924276,0.4575145757578003
C(COMPANY_ID)[T.4349],-44.08451172202365,0.7505693051114527
C(COMPANY_ID)[T.4359],-53.462490189969685,0.9128889843184231
C(COMPANY_ID)[T.436],11.09018648996041,0.32539219530713104
C(COMPANY_ID)[T.4361],-0.045039528825949526,0.6241107893595194
C(COMPANY_ID)[T.4363],-0.018744845546405278,0.8106093889204276
C(COMPANY_ID)[T.4373],-96.294780276246,0.3580314223050416
C(COMPANY_ID)[T.4375],19.69848282221318,0.6626738608825493
C(COMPANY_ID)[T.4376],-1.631114200215194,0.9363279332488228
C(COMPANY_ID)[T.4386],141.65367744486213,0.283299536520983
C(COMPANY_ID)[T.4399],-0.05271291146475948,0.41076066941367784
C(COMPANY_ID)[T.44],-0.15665814509241804,0.19096697990689523
C(COMPANY_ID)[T.4404],-0.0741266978419663,0.29072151892469095
C(COMPANY_ID)[T.4425],1.2401578138904483,0.9596348501749283
C(COMPANY_ID)[T.4426],-0.1354749038706542,0.06502673892347702
C(COMPANY_ID)[T.4427],-0.1578543390057559,0.02966490765985765
C(COMPANY_ID)[T.443],51.17781814064048,0.014220822447690615
C(COMPANY_ID)[T.4436],21.05196409707702,0.42574747748756026
C(COMPANY_ID)[T.4445],0.009064263695731767,0.8891293836661454
C(COMPANY_ID)[T.4451],25.556127789458117,0.2553859690664535
C(COMPANY_ID)[T.4455],-10.47985138825122,0.4544064078688195
C(COMPANY_ID)[T.4459],0.03562637738952806,0.5998290182530783
C(COMPANY_ID)[T.4463],10.327372761188883,0.7130999290300266
C(COMPANY_ID)[T.4464],-227.35639523901935,0.09366789207219037
C(COMPANY_ID)[T.4467],-13.807740457313571,0.8627947838668664
C(COMPANY_ID)[T.4490],64.06777142726844,0.04640998787736827
C(COMPANY_ID)[T.4493],-556.9735623955912,0.1556255109997183
C(COMPANY_ID)[T.4494],-229.09814722568152,0.613050999939909
C(COMPANY_ID)[T.4495],67.51239978429743,0.06618532795234669
C(COMPANY_ID)[T.4496],56.864412555063076,0.12168583801834656
C(COMPANY_ID)[T.4510],92.98935247062798,0.010505745893479685
C(COMPANY_ID)[T.4514],134.78503662794458,0.27862804670729435
C(COMPANY_ID)[T.452],-0.19876998221788422,0.13249354746085143
C(COMPANY_ID)[T.4520],61.77664456938109,0.1362018627484171
C(COMPANY_ID)[T.4521],1556.405808112827,0.0010443137952812055
C(COMPANY_ID)[T.4525],0.02080065653465324,0.8716715274181452
C(COMPANY_ID)[T.4526],0.05151851264343224,0.4521409805605502
C(COMPANY_ID)[T.4531],50.34735508557006,0.04294584577133651
C(COMPANY_ID)[T.4535],158.39050576087476,0.004039985444515389
C(COMPANY_ID)[T.4538],-0.1264610996006702,0.12069296034465858
C(COMPANY_ID)[T.4562],-0.13683533850614293,0.2885284067124711
C(COMPANY_ID)[T.4565],51.682480233887105,0.038600985055864824
C(COMPANY_ID)[T.4575],9.97493588055599,0.5134810646932653
C(COMPANY_ID)[T.4576],-0.1269112099938268,0.09081696925588802
C(COMPANY_ID)[T.4580],-0.015675425711333665,0.8418874262497081
C(COMPANY_ID)[T.4596],-0.2098156757245222,0.07551277851068508
C(COMPANY_ID)[T.4599],-0.2600034974565502,0.0005653228594742944
C(COMPANY_ID)[T.4608],-0.035511934161119085,0.6682758273235967
C(COMPANY_ID)[T.4614],0.048072454583649005,0.6264662931865779
C(COMPANY_ID)[T.4622],-0.1319349134377472,0.10499559315457155
C(COMPANY_ID)[T.4626],-0.13403454370331916,0.06787817287612231
C(COMPANY_ID)[T.4627],-0.16608595400316403,0.06741182717412596
C(COMPANY_ID)[T.4629],48.48216107042134,0.006641212273221103
C(COMPANY_ID)[T.4632],-0.19287882241710178,0.06631390837866907
C(COMPANY_ID)[T.4651],-0.048588217769916536,0.5485768262986159
C(COMPANY_ID)[T.4652],-0.1700898526927251,0.036468758225397004
C(COMPANY_ID)[T.4664],108.47546952393697,0.04157340330211395
C(COMPANY_ID)[T.4671],88.50316673662371,0.06698790074778359
C(COMPANY_ID)[T.4676],-0.039509321904027894,0.7590420623660505
C(COMPANY_ID)[T.4693],-0.0604773956345529,0.5286511348407075
C(COMPANY_ID)[T.4727],-0.05828434782359335,0.46671874922692835
C(COMPANY_ID)[T.4736],-0.02656599065738094,0.7379891851220457
C(COMPANY_ID)[T.498],935.9932667425714,0.3553995534774923
C(COMPANY_ID)[T.547],165.23481821793837,0.07324368253236396
